               xmn        radius(cm)               kmn              vbkv             alpha               nrc               rc0               rl0        fcref(GHz)             bz(G)             kmnrc             kmnrl             bjs-m              bjps                xx                yy        Hsm(xx,yy)
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   1.000000000D+00   9.000000000D+00   2.677623475D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   1.000000000D+00   1.000000000D+01   1.213020239D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   0.000000000D+00   8.315287662D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   1.000000000D+00   3.516390043D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   2.000000000D+00   1.382529804D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   3.000000000D+00   4.629367643D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   4.000000000D+00   4.819076167D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   5.000000000D+00   4.178311660D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   6.000000000D+00   1.287678711D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   7.000000000D+00   3.008454686D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   8.000000000D+00   6.737159865D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   9.000000000D+00   4.599192303D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   2.000000000D+00   1.000000000D+01   2.083531683D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   0.000000000D+00   2.874024467D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   1.000000000D+00   1.215374793D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   2.000000000D+00   4.778457037D-04
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   3.000000000D+00   1.600054792D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   4.000000000D+00   1.665624014D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   5.000000000D+00   1.444155684D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   6.000000000D+00   4.450621879D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   7.000000000D+00   1.039816387D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   8.000000000D+00   2.328573957D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   9.000000000D+00   1.589625248D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   3.000000000D+00   1.000000000D+01   7.201339604D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   4.000000000D+00   0.000000000D+00   1.090430305D-03
